condition_id,question,sub_category,grade,reason,ground_truth,entry_yes_price_3d
0x493720f91c0b4d1273bd744c1412826c4b23469f25654b7f918d66f49e266745,Will Alberta vote for independence in 2025?,discretionary,CRISP,dated vote outcome,0,0.0035
0x394851952cb613c24a24b9eb695b828617545a40b4c0013ddc16222ea68561f8,Russia x Ukraine Ceasefire in 2024?,discretionary,AMBIGUOUS,ceasefire definition / scope ambiguity,0,0.009
0x38b4857b4be08493cdb6aad1052332b57fe58d4e16b2f1979434ce2260433358,Will Elon Musk post 280-299 tweets in November 2025?,discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.0005
0xfac2af4b0dd00903861de0d99be87c71c9f45824e002fef274677c9f3fd4051c,Will BSW win the most seats in the next German election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0xb9998922e9b800d3c8dd65636a4f9905bae8d587f8cfd78d06c6209b33bb46cf,Trump ineligible to run for President?,discretionary,AMBIGUOUS,eligibility requires legal interpretation,0,0.003
0x9a6aae9fbe7ebfea1527b25b0b83e7fcf22ccc6216deb414c3e830266dfc36ec,Trump and Harris agree to Fox News debate?,discretionary,AMBIGUOUS,"requires interpretation of ""agree/agreement/reach""",0,0.0315
0x2e317c0dceb7b4ab2abe7c43f302b0253321f92a941709f871975799fd5a168b,Will Florida be the closest state?,discretionary,AMBIGUOUS,"""closest"" requires margin convention",0,0.022
0x98373b521fb96a8ac01b352d38b3095c21c8d30eadac1fe3a7e69f6c77eb2c66,Will Nikki Haley drop out in July by the start of the Republican National Convention?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.013
0x805d5d29303a29387e9b541f5c7405bcea69f8ef56137ce174356cb0e548d3ee,Trump ends taxes on tips in first 100 days?,discretionary,AMBIGUOUS,"open scope on what counts as ""ends taxes/policy"" within window",0,0.0065
0x534da3946b8da84a8687e346e735fcc1d7c7078c057b1a7769cb9991b3e67968,Will Gavin Newsom win the popular vote in the 2024 Presidential Election?,discretionary,CRISP,named candidate + dated election,0,0.0005
0xe53ae76973ece475c9e375ff9aa80bff1bd1119abd8ab38d7d689e76d9238686,"Will the US next strike Iran on January 19, 2026 (ET)?",discretionary,AMBIGUOUS,"""next strike/attack"" no fixed date",0,0.0005
