condition_id,question,sub_category,sub_tag,grade,entry_yes_price_3d,side,entry_price,outcome_yes_won,win,pnl,strategy
0x3ac961dca3c4f0fc34bf94c661962012ab5e8bcdcadfc99affa06eddde00b29f,Biden drops out of presidential race?,discretionary,other,AMBIGUOUS,0.695,YES,0.695,1,1,20.942446043165475,S5
0xc84dfa2ab4a808d1b96a2cf439f8b88a1c5c37762253280deb7663a195d9b859,Trump announces end of military operations against Iran by June 30th?,discretionary,iran,AMBIGUOUS,0.55,YES,0.55,1,1,39.90909090909091,S5
0xa9937410f8aae98cc6440a7480ad832be5a1a998afcf5a6e77c6f5aa4c0f259f,US x Iran ceasefire by May 31?,discretionary,iran,AMBIGUOUS,0.335,YES,0.335,1,1,98.25373134328356,S5
0xd5a64f75a5d7107e53e7c3eaf52865624a0c79ad8c41379faef4285494991326,Will Russia capture Pokrovsk by December 31?,discretionary,other,AMBIGUOUS,0.54,YES,0.54,1,1,41.59259259259258,S5
0x2fc417b2e4f3be9d8007d48bcab0e9c3015c4e988f0faf3d081f08ffe0317503,Pavel Durov released in August?,discretionary,other,AMBIGUOUS,0.335,YES,0.335,1,1,98.25373134328356,S5
0xb124766234e1f19bc156a0edfb492f8c4cc3fa25303e722ad52780b66a3b70df,Biden drops out in July? ,discretionary,other,AMBIGUOUS,0.42,YES,0.42,1,1,68.04761904761905,S5
0x0e72ce28c3f56e4ef9b3770e03f0d2cf08c5db1eeeb8d1c0a0d9b1d3865c500b,Will Trump talk to Nigel Farage in February?,discretionary,other,AMBIGUOUS,0.34,YES,0.34,0,0,-51.0,S5
0xd85d61234bca7dfed426bd2440b8990ceeb455ddbba8bb9257d5d861066b45b2,"Will the Trump administration release any Epstein-related files on December 22, 2025?",discretionary,other,AMBIGUOUS,0.81,YES,0.81,1,1,10.728395061728392,S5
0xb2a02ec1302923548722a92a0d21a0c440915ad15c429b5a61e825b4b1c82047,"Military action against Iran ends by April 11, 2026?",discretionary,iran,AMBIGUOUS,0.755,YES,0.755,1,1,15.2251655629139,S5
0xdc8391521f8ddad9dac60dc32ffeb7d1f78c707b241ceb4b383066e4d31595a8,Will Russia capture Kurakhove before December?,discretionary,other,AMBIGUOUS,0.585,YES,0.585,0,0,-51.0,S5
0x3dba4e07efac6d60b8ae1b70b25f87cfb811e2163a4a63a5e4a946fbe47932d8,Biden drops out before the Democratic convention?,discretionary,other,AMBIGUOUS,0.66,YES,0.66,1,1,24.75757575757575,S5
0xcba58d7e057d3a6051d062d6b62388f9207b6f3bc9212835f137128720964c76,Israel x Hamas ceasefire cancelled before April?,discretionary,israel,AMBIGUOUS,0.345,YES,0.345,1,1,93.92753623188406,S5
0x2e94bb8dd09931d12e6e656fe4fe6ceb3922bc3d6eab864bb6cd24773cf67269,Khamenei out as Supreme Leader of Iran by June 30?,discretionary,iran,AMBIGUOUS,0.635,YES,0.635,1,1,27.740157480314963,S5
0xa6ddb7146f48a12dbf73456d654211b01d7493829932c31b7fe85d82120d338f,Iran x Israel/US conflict ends by April 30?,discretionary,iran,AMBIGUOUS,0.615,YES,0.615,1,1,30.300813008130078,S5
0x4f7bd51376ac212cfdfba705d083ef7664579951ff5c85fa549e32e88c461468,"Will Russia enter Rizdvianka by March 31, 2026?",discretionary,other,AMBIGUOUS,0.4,YES,0.4,1,1,74.0,S5
0xd8084b77d5386b0c907a3e82567c737896ba0102af5de7ab7295aee6023409b6,Iran military response by Friday?,discretionary,iran,AMBIGUOUS,0.445,YES,0.445,0,0,-51.0,S5
0x0af4fc7fc85ce04980cf9193bd36111400d096cdf257e5fe7e0e3968137ada9e,Will Alec Baldwin be named in Epstein files?,discretionary,other,AMBIGUOUS,0.76,YES,0.76,1,1,14.78947368421052,S5
0xb2f7ed87460c653102e97db0d70e9fa5a8dd65d8ded48a6cd98ee6991afd8c0b,Israel military response against Iran by Friday?,discretionary,iran,AMBIGUOUS,0.53,YES,0.53,0,0,-51.0,S5
0x77791e343f0c9befba6344921e846af705e5b63937c475d105707dd24a758902,Will Trump talk to Ursula von der Leyen in April?,discretionary,other,AMBIGUOUS,0.695,YES,0.695,1,1,20.942446043165475,S5
0x4a2fbd6b2903641f940af5165b151d970915360667a8af3ab3e24c94f3eb002c,Will Elon Musk create a new political party in 2025?,discretionary,other,AMBIGUOUS,0.525,YES,0.525,1,1,44.23809523809524,S5
0x2e52a72e036adfba7577a3f04f08b4b49e379a66837760bc567504b8ea88a759,Yoon arrested by January 31?,discretionary,other,AMBIGUOUS,0.63,YES,0.63,1,1,28.365079365079367,S5
0x9f9b80acee3dff860af4b12f2399b07a8eca79376143e2c3565bcf833a96b4a0,Will Elon Musk create a new political party before August?,discretionary,other,AMBIGUOUS,0.405,YES,0.405,1,1,72.45679012345678,S5
0x3a17af0a20c160507cbdee8f0755e76bd21d2c09375f186a31c1aa456632c0ae,Will Trump release more Epstein files by December 26?,discretionary,other,AMBIGUOUS,0.335,YES,0.335,1,1,98.25373134328356,S5
0x12d1b41c90a2ff07173ab2469aad97fb9e80f781b36c32f99fbf4ae28a28b42a,Will Trump talk to Emmanuel Macron in January?,discretionary,other,AMBIGUOUS,0.51,YES,0.51,1,1,47.0392156862745,S5
0x640938ae857aa2dfaa5aeb2af07ec853ab0eec5395a5d4ab1c31842f1d3ab271,Will Russia capture Kupiansk by December 31?,discretionary,other,AMBIGUOUS,0.675,YES,0.675,1,1,23.074074074074076,S5
0x5c2e6aef8af5931e9bfa3750364626d754531d2fada2885d45c356b175962a25,Iran x Israel/US conflict ends by April 15?,discretionary,iran,AMBIGUOUS,0.5575,YES,0.5575,1,1,38.686098654708516,S5
0xb34dea60466c534a9cec1653ef49fb94d0daa9a90cee58bbe3b31dca715b110e,Will Kevin Spacey be named in Epstein files?,discretionary,other,AMBIGUOUS,0.39,YES,0.39,1,1,77.2051282051282,S5
0x49686d26fb712515cd5e12c23f0a1c7e10214c7faa3cb0a730aabe0c33694082,"Will Trump deport 250,000-500,000 people?",discretionary,other,AMBIGUOUS,0.85,YES,0.85,1,1,7.82352941176471,S5
0xee1ee3d926fe8fd697485c6a057484a5814f3c02533f0490869fa4ca75abaded,Democratic sweep?,discretionary,other,AMBIGUOUS,0.835,YES,0.835,1,1,8.880239520958085,S5
0x1b07e957981a04e688191208a4fc8b8349a93d6de03eba460fda38e647dafa5b,Sea/Air ceasefire in Ukraine before May? ,discretionary,ukraine,AMBIGUOUS,0.425,YES,0.425,1,1,66.64705882352942,S5
0x4413ead4b809809217039b9a07e7d982485d0c8c4814f909caf7effe68f202c4,Will Brooke Rollins attend the 2026 State of the Union address?,discretionary,other,AMBIGUOUS,0.715,YES,0.715,1,1,18.930069930069934,S5
0xc0be7b1f19f9b658778c2be7e6bc67596a00f347ab64392d0f5d387534c7c3b4,"US x Iran ceasefire extended by April 21, 2026?",discretionary,iran,AMBIGUOUS,0.445,YES,0.445,0,0,-51.0,S5
0x81b06cb917c9a2aabc67a7765bc3c640e88a699bbf451b29915049c0766cde04,US x Iran ceasefire by June 30?,discretionary,iran,AMBIGUOUS,0.455,YES,0.455,1,1,58.89010989010988,S5
0x7f4f3962471f14be7619652ce074f8ed07937f37aeb3427338c183fbfa0ae4f2,Will Zelensky visit Israel by Nov 10?,discretionary,ukraine,AMBIGUOUS,0.53,YES,0.53,0,0,-51.0,S5
0x18dccc229331c63d8360d1400ece2355627637547d8dcd54aa5f7f1b5580686e,"Military action against Iran ends on April 9, 2026?",discretionary,iran,AMBIGUOUS,0.413,YES,0.413,1,1,70.06537530266344,S5
0x38dfa2de75cfe3d28917237db30b7ef55045c8b000922dca1ac96aa27cd9f4ed,Will Kash Patel attend the 2026 State of the Union address?,discretionary,other,AMBIGUOUS,0.725,YES,0.725,0,0,-51.0,S5
0x91dbde104fee004a34f638f9a49d7fb8d4e8bc75e213aab92cd853cbbc4c9c90,Will Eric Adams drop out?,discretionary,other,AMBIGUOUS,0.6,YES,0.6,1,1,32.33333333333334,S5
0x3c0585e53f8a8ac29b1e81fbc89485dcdf451f0409648fa36417cc9f0487317b,Will Russia capture Siversk by December 31?,discretionary,other,AMBIGUOUS,0.57,YES,0.57,1,1,36.71929824561404,S5
0x1ddc0e7de1634d1204dda3bef66ffe18b0d52d8605c0a363755480de0dc81d41,Israel strike on Iranian nuclear facility before July?,hard_currency,israel,AMBIGUOUS,0.57,YES,0.57,1,1,36.71929824561404,S5
0xc3ad8026d7dbbad93b96ffd93b37bf6d7b2005c9ec1df5aae9090f96d5ecc7bc,Will Trump reduce or pause tariffs on Cambodia in April?,hard_currency,other,AMBIGUOUS,0.545,YES,0.545,1,1,40.74311926605503,S5
0x3ac961dca3c4f0fc34bf94c661962012ab5e8bcdcadfc99affa06eddde00b29f,Biden drops out of presidential race?,discretionary,other,AMBIGUOUS,0.695,NO,0.30500000000000005,1,0,-51.0,S6
0xc84dfa2ab4a808d1b96a2cf439f8b88a1c5c37762253280deb7663a195d9b859,Trump announces end of military operations against Iran by June 30th?,discretionary,iran,AMBIGUOUS,0.55,NO,0.44999999999999996,1,0,-51.0,S6
0xa9937410f8aae98cc6440a7480ad832be5a1a998afcf5a6e77c6f5aa4c0f259f,US x Iran ceasefire by May 31?,discretionary,iran,AMBIGUOUS,0.335,NO,0.665,1,0,-51.0,S6
0xd5a64f75a5d7107e53e7c3eaf52865624a0c79ad8c41379faef4285494991326,Will Russia capture Pokrovsk by December 31?,discretionary,other,AMBIGUOUS,0.54,NO,0.45999999999999996,1,0,-51.0,S6
0x2fc417b2e4f3be9d8007d48bcab0e9c3015c4e988f0faf3d081f08ffe0317503,Pavel Durov released in August?,discretionary,other,AMBIGUOUS,0.335,NO,0.665,1,0,-51.0,S6
0xb124766234e1f19bc156a0edfb492f8c4cc3fa25303e722ad52780b66a3b70df,Biden drops out in July? ,discretionary,other,AMBIGUOUS,0.42,NO,0.5800000000000001,1,0,-51.0,S6
0x0e72ce28c3f56e4ef9b3770e03f0d2cf08c5db1eeeb8d1c0a0d9b1d3865c500b,Will Trump talk to Nigel Farage in February?,discretionary,other,AMBIGUOUS,0.34,NO,0.6599999999999999,0,1,24.757575757575765,S6
0xd85d61234bca7dfed426bd2440b8990ceeb455ddbba8bb9257d5d861066b45b2,"Will the Trump administration release any Epstein-related files on December 22, 2025?",discretionary,other,AMBIGUOUS,0.81,NO,0.18999999999999995,1,0,-51.0,S6
