condition_id,question,sub_category,entry_yes_price_3d,end_date,outcome_yes_won,grade,reason
0xb030d9cb4bfc8073cbc3db356cdf3f00b02c07477774476bcef6fa6d08e42298,Will Donald Trump sign an executive order on April 4?,discretionary,0.51,2025-04-04 12:00:00+00:00,1,CRISP,specific named event with binary observable / numerical threshold / specific date
0x49e0fd35e25a3c075cba2ddd500e0a69369c88a7ecf8971304495b1970d98017,Will the Bharatiya Janata Party (BJP) win the most seats in the 2026 West Bengal Legislative Assembly election?,discretionary,0.5805,2026-04-29 00:00:00+00:00,1,CRISP,specific named event with binary observable / numerical threshold / specific date
0x2010ff3939e8e664dd57369aa907bbaa6d03ae18be27fe3ab2f4cdcb95a8b2ab,Will a Republican win the popular vote and the Presidency? ,discretionary,0.3,2024-11-05 12:00:00+00:00,1,CRISP,specific named event with binary observable / numerical threshold / specific date
0xaf97f60cad3509b019aab16568bf05eaec5bc53f91ea2c66e2a76ab467c754db,Will Karoline Leavitt say Egypt during next White House press briefing?,discretionary,0.395,2025-12-31 12:00:00+00:00,0,CRISP,specific named event with binary observable / numerical threshold / specific date
0x76c0c20596c22e4699dcce0970e0bafed1ebe22026caf4626d7d9a49c3b3b6f9,Will Jacob Frey win the 2025 Minneapolis mayoral election?,discretionary,0.76,2025-11-04 12:00:00+00:00,1,CRISP,specific named event with binary observable / numerical threshold / specific date
0xc7e96db9aa56c83c19e7eb3d608ef821bf9ad7699c48c8864011e5caed4ebd3e,"Will Trump say ""Big trouble"" this week? (September 22-28)",discretionary,0.625,2025-09-28 00:00:00+00:00,1,CRISP,specific named event with binary observable / numerical threshold / specific date
0xcc1635ab47d7b8edbc0ec7877bfa8f94d511b5d239419367fb01ff6e3c0a05d4,"Will Starmer say ""Child"" during the next Prime Minister's Questions event?",discretionary,0.435,2026-03-11 00:00:00+00:00,1,CRISP,specific named event with binary observable / numerical threshold / specific date
0x48e51508835de42a12c7177cfcd45881590bdc9fa00baa1ca4173c441bb471ff,Will Donald Trump sign an executive order on August 27?,discretionary,0.31,2025-08-29 00:00:00+00:00,0,CRISP,specific named event with binary observable / numerical threshold / specific date
0xf8c5951cdc0168a64adbe243b468250e70a251ffea4556e7775ce430c880bffa,Will the Liberal Democrats win 46-60 seats in the next UK Election?,discretionary,0.325,2024-07-04 12:00:00+00:00,0,CRISP,specific named event with binary observable / numerical threshold / specific date
0x87822b3d4ccba1835d698354b01c050b55f20c5f34b14908bff4ea5a6d58af4c,Will Mark Carney be the next Canadian Prime Minister?,discretionary,0.819,2025-04-28 12:00:00+00:00,1,CRISP,specific named event with binary observable / numerical threshold / specific date
0x13de42d032bf66c9cbb5b7e00687c665fa253605228230a05de26cfed818c2c4,"Will Trump say ""Crypto"" or ""Bitcoin"" this week? (November 3 - 9)",discretionary,0.52,2025-11-09 00:00:00+00:00,1,CRISP,specific named event with binary observable / numerical threshold / specific date
0xcb06c7dbd4aa4a8d95861b8b69dcd7d5d0d42ddefb3983fc143fdc99fd3499cc,"Will Trump say ""My Father"" or ""My Mother"" this week? (April 27 - May 3)",discretionary,0.525,2026-05-03 00:00:00+00:00,1,CRISP,specific named event with binary observable / numerical threshold / specific date
0x3ac961dca3c4f0fc34bf94c661962012ab5e8bcdcadfc99affa06eddde00b29f,Biden drops out of presidential race?,discretionary,0.695,2024-11-04 12:00:00+00:00,1,AMBIGUOUS,"""drops out"" — campaign-end timing interpretive"
0x3fc804e4d893f86d49229eb42492cabf6150f5bcbf36c1b66d1e8f22bc15ec6d,"US strikes Iran by March 2, 2026?",discretionary,0.325,2026-06-30 00:00:00+00:00,1,CRISP,specific named event with binary observable / numerical threshold / specific date
0x301357b52de467d3f71833deb600bc43346aeafe09b7c473a82f436699b459da,Will James Talarico be the Democratic nominee for Senate in Texas?,discretionary,0.715,2026-03-03 00:00:00+00:00,1,CRISP,specific named event with binary observable / numerical threshold / specific date
0xec062773d9bcb38e22d673402ea20e895c764e0f85d8691c541fa896812c1948,"Will Trump say ""crypto"" or ""Bitcoin"" during his inauguration speech?",discretionary,0.445,2025-02-03 12:00:00+00:00,0,CRISP,specific named event with binary observable / numerical threshold / specific date
